Fecha,Hora,Simbolo,Tipo,Precio_Entrada,Precio_Salida,Stake,Resultado,Ganancia,RSI,MACD,BB_Posicion,Volatilidad,Señal_Combinada,Fuerza_Señal,Balance_Final
2025-12-22,22:05:02,R_75,PUT,40897.74,40914.37,130.00,PERDIÓ,-130.00,83.04,0.0000,LOWER,0.00,NEUTRAL,0,9870.00
2025-12-22,22:05:50,R_75,CALL,40855.71,40800.27,128.31,PERDIÓ,-128.31,23.79,-2.6128,LOWER,0.02,NEUTRAL,0,9741.69
2025-12-22,22:06:16,R_75,CALL,40816.57,40814.14,88.65,PERDIÓ,-88.65,24.33,-18.0970,MIDDLE,0.02,NEUTRAL,0,9653.04
2025-12-22,22:07:28,R_75,PUT,40824.62,40889.42,62.74,PERDIÓ,-62.74,79.12,1.3057,UPPER,0.02,NEUTRAL,0,9590.30
2025-12-22,22:07:54,R_75,PUT,40883.11,40932.71,62.34,PERDIÓ,-62.34,83.45,21.9138,MIDDLE,0.02,NEUTRAL,0,9527.96
2025-12-22,22:08:20,R_75,PUT,40934.29,40915.58,61.93,GANÓ,+58.83,76.55,26.1013,MIDDLE,0.02,NEUTRAL,0,9586.79
2025-12-23,20:05:10,R_75,CALL,42440.61,42405.48,130.00,PERDIÓ,-130.00,28.18,0.0000,LOWER,0.00,NEUTRAL,0,9870.00
2025-12-23,20:05:36,R_75,CALL,42410.01,42446.12,128.31,GANÓ,+121.89,25.98,-22.9676,MIDDLE,0.02,NEUTRAL,0,9991.89
2025-12-23,20:06:02,R_75,PUT,42448.25,42492.14,129.89,PERDIÓ,-129.89,81.69,-1.0838,MIDDLE,0.01,NEUTRAL,0,9862.00
2025-12-23,20:06:28,R_75,PUT,42498.05,42449.20,128.21,GANÓ,+121.80,78.49,14.7950,MIDDLE,0.01,NEUTRAL,0,9983.80
2025-12-23,20:06:54,R_75,CALL,42439.09,42451.70,129.79,GANÓ,+123.30,20.93,-1.6225,MIDDLE,0.02,NEUTRAL,0,10107.10
